name;price;page;quantity;unit;unit_price;type;is_outlier;brand
Jumbo Espresso Oploskoffie 100 g;3.32;18.0;100.0;g;0.0332;instant;False;jumbo
Senseo CafA(c) Latte Koffiepads 4 x 8 Stuks;13.56;19.0;32.0;st;0.0605357142857142;pads;False;senseo
Douwe Egberts Intens Koffiebonen 500 g;8.99;19.0;500.0;g;0.01798;beans;False;douwe egberts
Illy Arabica Selection Gebrande Koffiebonen Brasile 250g;7.99;19.0;250.0;g;0.03196;beans;False;illy
Melitta Original Koffiefilters 100 Bruin 40 stuks;0.79;19.0;40.0;st;0.0028214285714285;filter;False;melitta
Senseo Cappuccino Choco Koffiepads 8 Stuks;3.39;20.0;8.0;st;0.0605357142857142;pads;False;senseo
Jumbos Lungo Grande Koffiecups 16 Stuks;4.69;20.0;16.0;st;0.041875;cups;False;jumbo
Illy Lungo Classico Koffiecups 10 stuks;5.49;20.0;10.0;st;0.0784285714285714;cups;False;illy
Douwe Egberts Half CafeA-ne Filterkoffie 250 g;5.29;20.0;250.0;g;0.02116;filter;False;douwe egberts
illy Intenso Filterkoffie 250 g;7.99;21.0;250.0;g;0.03196;filter;False;illy
La Place Lungo Intenso Koffiecups 10 Stuks;2.99;21.0;10.0;st;0.0427142857142857;cups;False;la place
Lavazza Espresso Decafe koffiecups 10 stuks;4.59;21.0;10.0;st;0.0655714285714285;cups;False;lavazza
illy Espresso Classico Koffiecups 10 Stuks;5.49;21.0;10.0;st;0.0784285714285714;cups;False;illy
Starbucks by Nespresso Single-Origin Coffee Guatemala 10 Stuks 52 g;4.69;21.0;10.0;st;0.067;capsule;False;starbucks
Senseo Cappuccino Koffiepads 8 Stuks 92 g;2.0;21.0;8.0;st;0.0357142857142857;pads;False;senseo
Jumbo Espresso Koffiecups Biologisch 10 Stuks;3.49;22.0;10.0;st;0.0498571428571428;cups;False;jumbo
La Place Koffiecups BraziliA<< 10 Stuks;3.04;22.0;10.0;st;0.0434285714285714;cups;False;la place
La Place Koffiecups Lungo Dolce 10 Stuks;2.99;22.0;10.0;st;0.0427142857142857;cups;False;la place
La Place Koffiecups Colombia 10 Stuks;2.99;22.0;10.0;st;0.0427142857142857;cups;False;la place
Smit & Dorlas Koffiebonen Mild Roast 500 g;9.79;22.0;500.0;g;0.0195799999999999;beans;False;smit and dorlas
Jumbo Koffiefilters No. 2 Ongebleekt 100 Stuks;0.89;22.0;100.0;st;0.0012714285714285;filter;False;jumbo
Wayang Premium Coffee Beans Indonesia 500 g;10.89;23.0;500.0;g;0.02178;other;False;wayang
Lavazza Espresso Italiano Classico filterkoffie blik 250g;5.99;23.0;250.0;g;0.02396;filter;False;lavazza
Simon LA(c)velt Masterblend Supreme Gemalen Koffie in Capsules 10 Stuks 57 g;4.89;23.0;10.0;st;0.0698571428571428;capsule;False;simon levelt
illy Intenso Bold Roast Coffee Beans 250 g;7.99;23.0;250.0;g;0.03196;other;False;illy
La Place Koffiecups Ristretto 10 Stuks;2.99;23.0;10.0;st;0.0427142857142857;cups;False;la place
NescafA(c) Original oploskoffie 33 koppen - 50 g;2.69;23.0;50.0;g;0.0538;instant;False;nescafe
Lavazza Espresso Intenso koffiecups 30st;12.79;23.0;30.0;st;0.0609047619047619;cups;False;lavazza
QualitA  Rossa koffiecups 10st;4.89;23.0;10.0;st;0.0698571428571428;cups;False;lavazza
La Place Koffiecups Lungo Dark 10 Stuks;2.99;23.0;10.0;st;0.0427142857142857;cups;False;la place
Simon LA(c)velt Masterblend Smooth Gemalen Koffie in Capsules 10 Stuks 57 g;4.89;24.0;10.0;st;0.0698571428571428;capsule;False;simon levelt
NescafA(c) Dolce Gusto Verwen Koffie Cups 3 x 16 Stuks;17.97;24.0;48.0;st;0.0534821428571428;capsule;False;nescafe
illy Espresso Decaffeinato Koffiecups 10 Stuks;5.49;25.0;10.0;st;0.0784285714285714;cups;False;illy
Epic Coffee Espresso Koffiecups 20 Stuks;3.99;25.0;20.0;st;0.0285;cups;False;epic
Jacqmotte Creations Koffiebonen Moka Absolu 500 g;9.49;25.0;500.0;g;0.01898;beans;False;jacqmotte
illy Lungo Intenso Koffiecups 10 Stuks;5.49;25.0;10.0;st;0.0784285714285714;cups;False;illy
Cornelissen Coffeeroasters Sweet & Rich Ethiopian Medium Roast Filter Koffie 250 g;6.69;26.0;250.0;g;0.02676;filter;False;cornelissen
Roots Koffiecups Extra Dark Roast 10 Stuks;3.99;26.0;10.0;st;0.057;cups;False;roots
Epic Coffee Lungo Dark koffiecups 20 Stuks;3.99;26.0;20.0;st;0.0285;cups;False;epic
StarbucksA(r) Single-Origin Colombia Medium Roast Koffiebonen 450 g;12.69;27.0;450.0;g;0.0282;beans;False;starbucks
illy Espresso Forte Koffiecups 10 Stuks;5.49;27.0;10.0;st;0.0784285714285714;cups;False;illy
Smit & Dorlas Extra Dark Roast Koffiecups 10 Stuks;3.99;27.0;10.0;st;0.057;cups;False;smit and dorlas
La Place Koffiecups Cappuccino 10 Stuks;2.99;27.0;10.0;st;0.0427142857142857;cups;False;la place
CafA(c) IntenciA3n Fuerte Filterkoffie 250 g;6.19;27.0;250.0;g;0.02476;filter;False;cafe intencin
Epic Coffee Espresso Dark Koffiecups 20 Stuks;3.99;27.0;20.0;st;0.0285;cups;False;epic
"CaffA"" Perrucci Koffie Latte Vanilla 16 Stuks 164 g";3.99;27.0;16.0;st;0.035625;other;False;caffe perrucci
Crema e Gusto Classico filterkoffie 250g;6.99;27.0;250.0;g;0.02796;filter;False;crema e gusto
Segafredo Zanetti Selezione Crema Koffiebonen 500 g;10.99;27.0;500.0;g;0.02198;beans;False;segafredo
nan;;;;;;nan;;nan
La Place Koffiecups Espresso 10 Stuks;2.99;28.0;10.0;st;0.0427142857142857;cups;False;la place
QualitA  Oro koffiecups 10st;4.89;28.0;10.0;st;0.0698571428571428;cups;False;lavazza
Specialty Brasil Yellow Bourbon Filter Coffee Dark 250 g;5.55;28.0;250.0;g;0.0222;filter;False;brasil yellow bourbon
Epic Coffee Lungo Koffiecups 20 Stuks;3.99;28.0;20.0;st;0.0285;cups;False;epic
Simon LA(c)velt Masterblend Sparkle Gemalen Koffie in Capsules 10 Stuks 55 g;4.89;29.0;10.0;st;0.0698571428571428;capsule;False;simon levelt
Senseo CafA(c) Latte Vanilla Koffiepads 8 Stuks;3.39;29.0;8.0;st;0.0605357142857142;pads;False;senseo
Melitta Original koffiefilters 1x4 Wit 80 stuks;2.76;29.0;80.0;st;0.0049285714285714;filter;False;melitta
Jumbos Beste Koffie Snelfiltermaling Mokka 250 g;4.69;29.0;250.0;g;0.01876;filter;False;jumbo
Jumbos Beste Koffie Snelfiltermaling Mild 250 g;4.69;30.0;250.0;g;0.01876;filter;False;jumbo
Roots Koffiecups Medium Roast 10 Stuks;3.99;31.0;10.0;st;0.057;cups;False;roots
nan;;;;;;nan;;nan
Zonnatura Bio Meergranen Koffie 100 g;3.59;31.0;100.0;g;0.0359;other;False;zonnatura
Crema e Gusto Classico koffiecups 10stuks;4.89;31.0;10.0;st;0.0698571428571428;cups;False;douwe egberts
Roots Koffiecups Dark Roast 10 Stuks;3.99;32.0;10.0;st;0.057;cups;False;roots
Senseo Cappuccino Caramel Koffiepads 8 Stuks;3.39;32.0;8.0;st;0.0605357142857142;pads;False;senseo
Smit & Dorlas Dark Roast Koffiecups 10 Stuks;3.99;33.0;10.0;st;0.057;cups;False;smit and dorlas
Senseo Typ CafA(c) Latte Koffiepads 8 Stuks 92 g;3.39;33.0;8.0;st;0.0605357142857142;pads;False;senseo
Senseo Classic Koffiepads 54 Stuks Maxi Pack 375 g;5.0;34.0;54.0;st;0.0132275132275132;pads;False;senseo
LOR Crema Classique Koffiebonen 500 g;11.89;34.0;500.0;g;0.02378;beans;False;lor
LOR Espresso Forza Koffiebonen 500 g;11.89;34.0;500.0;g;0.02378;beans;False;lor
Jumbos Lungo Decaffeinato Koffiecups 40 Stuks;8.69;34.0;40.0;st;0.0310357142857142;cups;False;jumbo
Douwe Egberts Excellent Black Koffiebonen 500 g;10.99;34.0;500.0;g;0.02198;beans;False;douwe egberts
LOR Espresso Onyx Koffiebonen 500 g;11.89;34.0;500.0;g;0.02378;beans;False;lor
La Place Koffiecups Lungo Decaffeinato 10 Stuks;2.99;34.0;10.0;st;0.0427142857142857;cups;False;la place
